num,nombre,partido,eleccion,estado,camara,propietario,twitter,facebook,youtube,pagina_personal,twitter_avatar
146,"Domínguez Zepeda Pedro Ignacio","PRI","Mayoría Relativa","Chihuahua","D","PROPIETARIO","Pedro_Dgz","PedroDgz","","","http://pbs.twimg.com/profile_images/451329701038927872/3ZkjyWtS_bigger.jpeg"
147,"Dorador Pérez Gavilán Rodolfo","PAN","Representación Proporcional","Durango","D","PROPIETARIO","Dorador1","","","http://www.dorador.org/datos/pdf/acercade.pdf","http://pbs.twimg.com/profile_images/1399051204/rodolfo_dorador_v2_bigger.jpg"
148,"Duarte Murillo José Ignacio","PRI","Mayoría Relativa","Chihuahua","D","PROPIETARIO","Nacho_Duarte_","nachoduartemurillo","NachoDuarteMurillo","http://nachoduarte.com/","http://pbs.twimg.com/profile_images/2266734200/jijz3aq36jwtf53sxfmn_bigger.jpeg"
149,"Duarte Ortuño Catalino","PRD","Mayoría Relativa","Guerrero","D","PROPIETARIO","catalino_duarte","catalino.duarteortuno.5","","","http://pbs.twimg.com/profile_images/2004151746/image_bigger.jpg"
150,"Durazo Montaño Francisco Alfonso","MC","Representación Proporcional","Sonora","D","PROPIETARIO","alfonsodurazo","","","","http://pbs.twimg.com/profile_images/378800000139826265/c52585c054cfad67ebab18d3380a0569_bigger.jpeg"
151,"Elizondo Ramírez Irma","PRI","Mayoría Relativa","Coahuila","D","PROPIETARIO","","","irmaelizondo","http://www.irmaelizondo.com/",
152,"Escajeda Jiménez José Rubén","PRI","Mayoría Relativa","Durango","D","PROPIETARIO","ruben_escajeda","ruben.escajedajimenez/270016893080471","","","http://pbs.twimg.com/profile_images/378800000740122556/e7e4986a36fa42dc35a575e25b722f01_bigger.jpeg"
153,"Escobar y Vega Arturo","PVEM","Representación Proporcional","Distrito Federal","D","PROPIETARIO","arturoesc","","","","http://pbs.twimg.com/profile_images/378800000679412488/052a8746469123b064f5127325ecde65_bigger.jpeg"
154,"Espinosa Cházaro Luis Angel Xariel","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","Luischazaro11","luis.chazaro.5","","","http://pbs.twimg.com/profile_images/447808168437878784/tyPn8XZT_bigger.jpeg"
155,"Esquivel Zalpa José Luis","PRD","Mayoría Relativa","Michoacán","D","PROPIETARIO","JOSELUISESQUIV9","joseluis.esquivelzalpa","","","http://pbs.twimg.com/profile_images/2141418195/536780_268053639945185_100002216522246_575856_1276638067_n_bigger.jpg"
156,"Félix Chávez Faustino Francisco","PRI","Mayoría Relativa","Sonora","D","PROPIETARIO","FaustinoFelix","","","","http://pbs.twimg.com/profile_images/451822411235602432/EBTfTmdT_bigger.jpeg"
157,"Félix Hays Rubén Benjamín","PANAL","Representación Proporcional","Sinaloa","D","PROPIETARIO","renovatiomx","ruben.felixhays","","","http://pbs.twimg.com/profile_images/2618774647/a14ue9rojo5g3epw9b6m_bigger.jpeg"
158,"Fernández Clamont Francisco Javier","PRI","Mayoría Relativa","México","D","PROPIETARIO","","francisco.clamont","","",
159,"Flemate Ramírez Julio César","PRI","Mayoría Relativa","Zacatecas","D","PROPIETARIO","Jflemate","flematediputado","","","http://pbs.twimg.com/profile_images/1990460298/Flemate_en_twitter_bigger.jpg"
160,"Flores Aguayo Uriel","PRD","Mayoría Relativa","Veracruz","D","PROPIETARIO","UrielFA","uriel.floresaguayo","","","http://pbs.twimg.com/profile_images/3235303836/f59aea83410a2020dbe071cc1f6129d9_bigger.jpeg"
161,"Flores Flores Enrique Alejandro","PAN","Representación Proporcional","San Luis Potosí","D","PROPIETARIO","enriqueflores21","enrique.a.flores.7","","","http://pbs.twimg.com/profile_images/2881727054/d57b71b736f52d34d68966d8874e3131_bigger.png"
162,"Flores Gómez José Luis Cruz","PRI","Mayoría Relativa","México","D","PROPIETARIO","","JoseLuisCruzFloresGomez","","",
163,"Flores Méndez José Luis","PRI","Mayoría Relativa","Coahuila","D","PROPIETARIO","flores_mendez","joseluis.floresmendez","","http://jlfloresmendez.blogspot.mx/","http://pbs.twimg.com/profile_images/458848485811314688/IXSn5Exu_bigger.jpeg"
164,"Flores Salazar Guadalupe Socorro","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","guadalupe.floressalazar.90","","",
165,"Flores Sandoval Patricio","PRI","Representación Proporcional","Jalisco","D","PROPIETARIO","","","","",
166,"Focil Pérez Juan Manuel","PRD","Representación Proporcional","Tabasco","D","PROPIETARIO","jmfocil","juanmanuel.focilperez","","","http://pbs.twimg.com/profile_images/424043286450286592/gy_uXHOM_bigger.jpeg"
167,"Fuentes Solís Víctor Oswaldo","PAN","Mayoría Relativa","Nuevo León","D","PROPIETARIO","victorfuentesmx","victorfuentessolis","victorfuentesmx","","http://pbs.twimg.com/profile_images/3591571531/0ebbe7b9f48b8814843ff3b773e184ed_bigger.jpeg"
168,"Fuentes Téllez Adriana","PRI","Mayoría Relativa","Chihuahua","D","PROPIETARIO","AdrianaFuentesT","AdrianaFuentesT","","","http://pbs.twimg.com/profile_images/1786168178/AFT_bigger.jpg"
169,"Fujiwara Montelongo René Ricardo","PANAL","Representación Proporcional","Distrito Federal","D","PROPIETARIO","renefuji","rene.f.montelongo","","http://renefujiwara.net/","http://pbs.twimg.com/profile_images/450846372053270528/Mc62ZPA8_bigger.jpeg"
170,"Funes Velázquez Erika Yolanda","PRI","Representación Proporcional","México","D","PROPIETARIO","erifunes","","","","http://pbs.twimg.com/profile_images/436868368084115457/H80B0qwS_bigger.jpeg"
171,"Galindo Delgado David Cuauhtémoc","PAN","Mayoría Relativa","Sonora","D","PROPIETARIO","TemoGalindo","TEMOGD","","","http://pbs.twimg.com/profile_images/2693434814/7fcce4a931a775e18696405ada070f67_bigger.jpeg"
172,"Galindo Quiñones Heriberto Manuel","PRI","Representación Proporcional","Sinaloa","D","PROPIETARIO","HGalindoQ","Heriberto-Galindo-Quinones/248880631852134","","","http://pbs.twimg.com/profile_images/1630815329/IMG00606-20110521-1559_bigger.jpg"
173,"Galván Villanueva Raúl Santos","PRI","Representación Proporcional","Sinaloa","D","PROPIETARIO","RSGV44","","","","http://pbs.twimg.com/profile_images/3343092457/cef6df347b75de6bd80852f18e4db954_bigger.jpeg"
174,"Gamboa Song Lizbeth Loy","PRI","Representación Proporcional","Quintana Roo","D","PROPIETARIO","","LizbethGamboaSong","lizbethgamboasong","",
175,"Garay Cabada Marina","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","MarinaCercaDeTi","MarinaGarayCabada","","http://marinagaraypri.com/","http://pbs.twimg.com/profile_images/3506954751/16bafe12e1ae182446eee48d7fdc6797_bigger.jpeg"
176,"García Ramírez José Guadalupe","PAN","Mayoría Relativa","Querétaro","D","PROPIETARIO","LupeGarcia_PAN","","","","http://pbs.twimg.com/profile_images/443891213477769216/UnbOD2i3_bigger.jpeg"
177,"García Conejo Antonio","PRD","Mayoría Relativa","Michoacán","D","PROPIETARIO","","AntonioGarciaConejo","","",
178,"García de la Fuente Mónica","PVEM","Representación Proporcional","Aguascalientes","D","PROPIETARIO","","","","",
179,"García Fernández María de las Nieves","PRI","Representación Proporcional","Oaxaca","D","PROPIETARIO","DraNievesGarcia","ra-María-de-las-Nieves-García-Fernández/124079361045736","","","http://pbs.twimg.com/profile_images/1813698737/Dra_Nieves_bigger.jpg"
180,"García García Héctor","PRI","Mayoría Relativa","Nuevo León","D","PROPIETARIO","LicHectorGarcia","","","","http://pbs.twimg.com/profile_images/420657907995119616/VEs8ahOg_bigger.jpeg"
181,"García González Carlos Alberto","PAN","Mayoría Relativa","Tamaulipas","D","PROPIETARIO","_CarlosGarciaG","c.a.garciaglez","","","http://pbs.twimg.com/profile_images/3283063319/3c29662145a3892d38b3ce0be049c281_bigger.jpeg"
182,"García Hernández Josefina","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","","","","",
183,"García Medina Amalia Dolores","PRD","Representación Proporcional","Distrito Federal","D","PROPIETARIO","","AmaliaDGarciaMedina","AGMentrevistas","",
184,"García Olmedo María del Rocío","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","rgolmedo","RocioGarciaOlmedo","","","http://pbs.twimg.com/profile_images/1267856607/olmedo_bigger.jpg"
185,"García Reyes Verónica","PRD","Representación Proporcional","Michoacán","D","PROPIETARIO","","veronica.garciareyes.90","","",
186,"García Rojas Mariana Dunyaska","PAN","Representación Proporcional","Veracruz","D","PROPIETARIO","DunyaskaPANVer","nuevaetapa","","http://www.marianadunyaska.com/","http://pbs.twimg.com/profile_images/447710122928648192/mJyZjGVP_bigger.jpeg"
187,"García de la Cadena Romero María del Carmen","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","MariCarmenTehua","maricarmengarciadelacadena","","","http://pbs.twimg.com/profile_images/453585701716504576/BrJzoUFv_bigger.jpeg"
188,"Garfias Gutiérrez Lucila","PANAL","Representación Proporcional","México","D","PROPIETARIO","DipLGarfias","lucila.garfias","","","http://pbs.twimg.com/profile_images/378800000198015637/3201ce1164863e99595a3bea4b4c5cdc_bigger.jpeg"
189,"Garza Cadena Ana Lilia","PVEM","Representación Proporcional","Baja California","D","PROPIETARIO","algcadena","ana.l.cadena","","","http://pbs.twimg.com/profile_images/446722780159934464/bAIRUSWO_bigger.jpeg"
190,"Garza Moreno María Esther","PRI","Mayoría Relativa","Guanajuato","D","PROPIETARIO","","eliminado3698","","",
191,"Garza Ruvalcaba Marcelo","PRD","Representación Proporcional","Nuevo León","D","PROPIETARIO","","","","",
192,"Gastélum Buenrostro Juan Manuel","PAN","Mayoría Relativa","Baja California","D","PROPIETARIO","JmGastelumB","juanmanuel.gastelum.3","","","http://pbs.twimg.com/profile_images/438135973424021504/4TESpBjM_bigger.jpeg"
193,"Gaudiano Rovirosa Gerardo","PRD","Mayoría Relativa","Tabasco","D","PROPIETARIO","GerardoGaudiano","gerardo.gaudiano","","http://www.gerardogaudiano.com/","http://pbs.twimg.com/profile_images/422746346743799808/VMV6mL1S_bigger.jpeg"
194,"Gauna Ruiz de León Celia Isabel","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","celiagauna","CeliaGaunaRuiz","","","http://pbs.twimg.com/profile_images/2581558837/image_bigger.jpg"
195,"Gómez Ramírez Raúl","PAN","Mayoría Relativa","Guanajuato","D","PROPIETARIO","","DipRaulGomezRamirez","","",
196,"Gómez Carmona Blanca Estela","PRI","Mayoría Relativa","México","D","PROPIETARIO","blancaegomez23","blancaestelagomezcarmona","","","http://pbs.twimg.com/profile_images/378800000609804186/2cb1e7cf7e8afa8b13e6d717e9b1c8ce_bigger.jpeg"
197,"Gómez Gómez Luis","PRI","Mayoría Relativa","Chiapas","D","PROPIETARIO","","","","",
198,"Gómez Gómez Pedro","PRI","Mayoría Relativa","Chiapas","D","PROPIETARIO","","Pedro-Gomez-Gomez/106624386085275","","",
199,"Gómez Míchel Gabriel","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","","DrGabrielGomezMichel","","",
200,"Gómez Olguín Roy Argel","PRI","Mayoría Relativa","Nayarit","D","PROPIETARIO","RoyGomezOlguin","roy.g.olguin","","","http://pbs.twimg.com/profile_images/3508954503/0ca684394b17345f3780649e3022565b_bigger.jpeg"
201,"Gómez Pozos Merilyn","MC","Representación Proporcional","Jalisco","D","PROPIETARIO","MerilynGomezP","MerilynGomezPozos","","","http://pbs.twimg.com/profile_images/446550144482177024/apii9IsQ_bigger.jpeg"
202,"Gómez Tueme Amira Griselda","PRI","Representación Proporcional","Tamaulipas","D","PROPIETARIO","","","","",
203,"González Serna José Ángel","PAN","Mayoría Relativa","Aguascalientes","D","PROPIETARIO","Diputado_Paquin","joseangelglezoficial","José Ángel González Paquín","www.joseangelgonzalezpaquin.org","http://pbs.twimg.com/profile_images/2297156189/zpne292wwajorckftlt9_bigger.jpeg"
204,"González Aguilar Lázara Nelly","PAN","Representación Proporcional","Tamaulipas","D","PROPIETARIO","nellysenadora","lazaranelly.gonzalezaguila","","www.nellygonzalez.org","http://pbs.twimg.com/profile_images/1814553047/nelly_bigger.jpg"
205,"González Barrios Rodrigo","PRD","Representación Proporcional","Nayarit","D","PROPIETARIO","prensargb","RGBnay","RGBnay","www.rodrigogonzalezbarrios.com",
206,"González Bautista Valentín","PRD","Mayoría Relativa","México","D","PROPIETARIO","","","","",
207,"González Carrillo Adriana","PAN","Representación Proporcional","México","D","PROPIETARIO","AdriGlezCar","agc.contectodirecto","adrglezcar","www.adrianagonzalez.com.m","http://pbs.twimg.com/profile_images/378800000608172088/7109ee8399ba226c49e9d9e929aa1ab2_bigger.jpeg"
208,"González Cruz Cristina","PRI","Mayoría Relativa","México","D","PROPIETARIO","cristinaglez39","Cristina-gonzalez-cruz","cristinaglez39","","http://pbs.twimg.com/profile_images/452142169206177792/_7Gdwd2I_bigger.jpeg"
209,"González Farías Eligio Cuitláhuac","PRI","Mayoría Relativa","Michoacán","D","PROPIETARIO","G_ELIGIO8","Eligio.Gonzalez","","eligiogonzalezfarias.com","http://pbs.twimg.com/profile_images/2966695752/8fbc31b3183b39c1307307f47bfc458a_bigger.jpeg"
210,"González Gómez Cecilia","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","ceciliadiputada","","","","http://pbs.twimg.com/profile_images/378800000187027208/c084c6e1a3d1480f1230fbe6520b9496_bigger.jpeg"
211,"González Luna Bueno Federico José","PVEM","Representación Proporcional","Veracruz","D","PROPIETARIO","","","","",
212,"González Magallanes Alfa Eliana","PRD","Representación Proporcional","Coahuila","D","PROPIETARIO","","","","",
213,"González Manríquez Víctor Rafael","PAN","Representación Proporcional","Oaxaca","D","PROPIETARIO","VictorGoman","vgonzalezmanriquez","","","http://pbs.twimg.com/profile_images/1505464171/image_bigger.jpg"
214,"González Martínez Olivares Irazema","PRI","Mayoría Relativa","México","D","PROPIETARIO","Irazema_G","irazemagonzalez","","www.irazemagonzalez.com.mx","http://pbs.twimg.com/profile_images/459380262250364928/fH071EXV_bigger.jpeg"
215,"González Morfín José","PAN","Representación Proporcional","Michoacán","D","PROPIETARIO","jglezmorfin","José-González-Morfín","","","http://pbs.twimg.com/profile_images/2846365697/b2ff007a26bc3ae16ba0471a1c671aaa_bigger.jpeg"
216,"González Reséndiz Rafael","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","rafaelgresendiz","RafaGonzález'5","","","http://pbs.twimg.com/profile_images/438681972978618369/S2e5JeA7_bigger.jpeg"
217,"González Roldán Luis Antonio","PANAL","Representación Proporcional","México","D","PROPIETARIO","","","","",
218,"González Valdez Marco Antonio","PRI","Mayoría Relativa","Nuevo León","D","PROPIETARIO","","marcoprinl","MARCO ANTONIO GONZÁLEZ VALDEZ","",
219,"González Vargas Francisco","PRI","Mayoría Relativa","Hidalgo","D","PROPIETARIO","PacoGonzalezV","Paco.Glez.V","PacoGlezV2012","","http://pbs.twimg.com/profile_images/2070719367/FGV02_bigger.png"
220,"Gordillo Castillo Néstor Octavio","PAN","Mayoría Relativa","Puebla","D","PROPIETARIO","NestorGordillo","NestorGordillo.PAN","","www.nestorgordillo.org.mx","http://pbs.twimg.com/profile_images/3218243412/7fcee164536ab40ed4695fa85202e5b4_bigger.jpeg"
221,"Grajales Palacios Francisco","PRI","Mayoría Relativa","Chiapas","D","PROPIETARIO","pacograj","francisco.grajalespalacios","","","http://pbs.twimg.com/profile_images/1799505026/281210_044_bigger.jpg"
222,"Gualito Castañeda Rosalba","PRI","Mayoría Relativa","México","D","PROPIETARIO","RosalbaGualito","rosalba.gualito","Rosalba Gualito","","http://pbs.twimg.com/profile_images/438359707418255360/yAC5uBWs_bigger.jpeg"
223,"Guerra Garza Abel","PRI","Mayoría Relativa","Nuevo León","D","PROPIETARIO","AbelGuerraG","Abel-Guerra","abelguerragza","www.abelguerra.com","http://pbs.twimg.com/profile_images/3225541926/11e698a45a4e171065b2101ef9eec939_bigger.jpeg"
224,"Guerrero López Judit Magdalena","PVEM","Mayoría Relativa","Zacatecas","D","PROPIETARIO","JuditGuerrero3","JuditGuerreroL","juditguerrero","www.juditguerrero.mx","http://pbs.twimg.com/profile_images/435285615915986944/DdLjYwvt_bigger.jpeg"
225,"Guevara González Javier Filiberto","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","filiguevaraglez","","","","http://pbs.twimg.com/profile_images/2856609301/abe38daec2a333a3ad1642ede5e1bc4b_bigger.jpeg"
226,"Gurrión Matías Samuel","PRI","Mayoría Relativa","Oaxaca","D","PROPIETARIO","samygurrion","Samuel-Gurrión","","","http://pbs.twimg.com/profile_images/458290170643509248/NhsdSm6K_bigger.jpeg"
227,"Gutiérrez Álvarez Harvey","PRI","Mayoría Relativa","Chiapas","D","PROPIETARIO","HarveyGutierrez","harvey.gutierrez.alvarez","HARVEY GUTIERREZ","","http://pbs.twimg.com/profile_images/1548839351/HGA_bigger.jpg"
228,"Gutiérrez de la Garza Héctor Humberto","PRI","Mayoría Relativa","Nuevo León","D","PROPIETARIO","HectorHGutierre","HectorGutierrezG","","www.hectorgutierrez.com","http://pbs.twimg.com/profile_images/378800000743845506/9f8992005fba56277ea632d9afc784fd_bigger.png"
229,"Guzmán Díaz Delfina Elizabeth","PRD","Mayoría Relativa","Oaxaca","D","PROPIETARIO","GuzmanDelfina","Delfina-Guzman","","","http://pbs.twimg.com/profile_images/2062992570/524197_317235541675868_317235318342557_833388_791289102_n_bigger.jpg"
230,"Heredia Lizárraga Martín Alonso","PAN","Mayoría Relativa","Sinaloa","D","PROPIETARIO","MartinHeredia8","MartínHerediaH","","www.herediamazatlan.wordpress","http://pbs.twimg.com/profile_images/1951066044/icono_bigger.jpg"
231,"Hernández Burgos Gaudencio","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","GauHernandez","GaudencioHB","","","http://pbs.twimg.com/profile_images/2562973166/image_bigger.jpg"
232,"Hernández González Noé","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","NoeHdez_2012","NoeHernandez.diputado","","","http://pbs.twimg.com/profile_images/3061539628/8996698e04cfeb908d0b388d4f9b1577_bigger.jpeg"
233,"Hernández Íñiguez Adriana","PRI","Mayoría Relativa","Michoacán","D","PROPIETARIO","Adriana_hi","ady.hernandez.lp","","www.adrianahernandez.mx","http://pbs.twimg.com/profile_images/2621863670/83bgtjq89zwd2hksc9d8_bigger.jpeg"
234,"Hernández Morales Mirna Esmeralda","PRI","Mayoría Relativa","Hidalgo","D","PROPIETARIO","mirnahermo","mirna.hernandez.965","","","http://pbs.twimg.com/profile_images/420575381750435840/N6Itp1bk_bigger.jpeg"
235,"Hernández Tapia Gerardo Xavier","PRI","Mayoría Relativa","México","D","PROPIETARIO","","","","",
236,"Herrera Delgado Jorge","PRI","Mayoría Relativa","Durango","D","PROPIETARIO","jherreradelgado","Jorge-Herrera-Delgado","","","http://pbs.twimg.com/profile_images/3122474635/410f582c3694fe034171341e3c64aec5_bigger.jpeg"
237,"Hirata Chico Gilberto Antonio","PRI","Mayoría Relativa","Baja California","D","PROPIETARIO","gilbertohiratac","gilbertohirata","gilbertohiratatv","","http://pbs.twimg.com/profile_images/420394749460090880/3HtI31c5_bigger.jpeg"
238,"Huerta Ladrón de Guevara Manuel Rafael","PT","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","","","",
239,"Huerta Rea María de Jesús","PRI","Representación Proporcional","Nuevo León","D","PROPIETARIO","maryhuertarea","","","","http://pbs.twimg.com/profile_images/378800000722379238/4caf649d9b179738a0a213fb687b899c_bigger.jpeg"
240,"Huidobro González Zuleyma","MC","Representación Proporcional","Puebla","D","PROPIETARIO","ZuleymaHuidobro","ZuHuidobro","","","http://pbs.twimg.com/profile_images/431477416028954624/0MXkzCGn_bigger.jpeg"
241,"Hurtado Gallegos José Antonio","MC","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","DIP_JOSEANTONIO","DIPUTADOJOSEANTONIOHURTADO","","","http://pbs.twimg.com/profile_images/2577685768/g1deb89ch1j7awxfalqc_bigger.jpeg"
242,"Inzunza Montoya Alfonso","PRI","Mayoría Relativa","Sinaloa","D","PROPIETARIO","Ponchin_Inzunza","alfonso.inzunzamontoya","Alfonso Inzunza Montoya","","http://pbs.twimg.com/profile_images/2083628823/ponchin_imagen_oficial_bigger.jpg"
243,"Issa Salomón Juan Marcos","PRI","Mayoría Relativa","Coahuila","D","PROPIETARIO","salomonjm","","","","http://pbs.twimg.com/profile_images/3416384226/5ded64a5d4e0f79f85ce149523b5348e_bigger.jpeg"
244,"Jardines Fraire Jhonatan","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","jhonjardines","jhonjardines","","","http://pbs.twimg.com/profile_images/458488296788598784/7rGrlwNN_bigger.jpeg"
245,"Jarquín López Hugo","PRD","Mayoría Relativa","Oaxaca","D","PROPIETARIO","jarquin_hugo","Hugo-Jarquin","","","http://pbs.twimg.com/profile_images/2702284182/7c278f5e05013edd595e25f093369597_bigger.jpeg"
246,"Jiménez Castillo Blanca","PAN","Mayoría Relativa","Puebla","D","PROPIETARIO","BlancaJC
","Bjimcas","Blancajimenezc","www.blancajimenezaccion.blogspot.com","http://pbs.twimg.com/profile_images/414600850439278592/W_Xgqf1m_bigger.jpeg"
247,"Jiménez Cerrillo Raquel","PAN","Representación Proporcional","Querétaro","D","PROPIETARIO","DipRaquelJC","Raquel-Jimenez-Cerrillo","","","http://pbs.twimg.com/profile_images/3402221725/2c510c24c7bb3e41d1d332a80a641790_bigger.jpeg"
248,"Jiménez Esquivel María Teresa","PAN","Mayoría Relativa","Aguascalientes","D","PROPIETARIO","TereJimenezE","","","","http://pbs.twimg.com/profile_images/442454466218844161/Ehe3tTFv_bigger.jpeg"
249,"Jorrín Lozano Víctor Manuel","MC","Mayoría Relativa","Guerrero","D","PROPIETARIO","Vjorrin","","","","http://pbs.twimg.com/profile_images/3641058796/04dd3e43f13b6fbb8ebf6731fe70fd5b_bigger.jpeg"
250,"Juárez Piña Verónica Beatriz","PRD","Representación Proporcional","Jalisco","D","PROPIETARIO","juarezvero","","","","http://pbs.twimg.com/profile_images/440219311727058944/CLjY_YnE_bigger.jpeg"
251,"King de la Rosa Raymundo","PRI","Mayoría Relativa","Quintana Roo","D","PROPIETARIO","raymundoking","kingraymundo","raymundokingdelarosa","www.raymundokingdelarosa.com.mx","http://pbs.twimg.com/profile_images/378800000606140918/b7e82aaec4f4d825aa9bdd8a285565fe_bigger.jpeg"
252,"Labastida Sotelo Karina","PAN","Representación Proporcional","México","D","PROPIETARIO","","karina.labastidasotelo","","",
253,"Larrazábal Bretón Fernando Alejandro","PAN","Mayoría Relativa","Nuevo León","D","PROPIETARIO","FerLarrazabal","FernandoLarrazabal","","","http://pbs.twimg.com/profile_images/1990650516/perfil_twitter_bigger.jpg"
254,"León Mendívil José Antonio","PRD","Representación Proporcional","Veracruz","D","PROPIETARIO","","joseantonio.leonmendivil","","",
255,"Licea González Margarita","PAN","Representación Proporcional","Jalisco","D","PROPIETARIO","MargaritaLicea","margarita.licea","","","http://pbs.twimg.com/profile_images/1834524084/MAGO3_copy_bigger.jpg"
256,"Liceaga Arteaga Gerardo Francisco","PRI","Mayoría Relativa","México","D","PROPIETARIO","GerardoLiceaga","Dip-Gerardo-Liceaga-Arteaga","","","http://pbs.twimg.com/profile_images/2174063917/IMG_0021_bigger.JPG"
257,"Llanas Alba José Alejandro","PAN","Mayoría Relativa","Tamaulipas","D","PROPIETARIO","AlexLlanasAlba","AlexLlanasAlba","","","http://pbs.twimg.com/profile_images/1993149432/alejandro_bigger.jpg"
258,"López Alvarado Jaime Chris","PRI","Mayoría Relativa","Baja California","D","PROPIETARIO","ChrisLopezBC","ChrisLopezBC","","","http://pbs.twimg.com/profile_images/2019929598/facebook2-03_bigger.jpg"
259,"López Cándido José Arturo","PT","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","jalopezcandido","diparchi","","","http://pbs.twimg.com/profile_images/2201843530/candido_bigger.JPG"
260,"López Cisneros José Martín","PAN","Mayoría Relativa","Nuevo León","D","PROPIETARIO","","","","",
261,"López González Roberto","PRD","Representación Proporcional","Jalisco","D","PROPIETARIO","","","","",
262,"López Landero Leticia","PAN","Mayoría Relativa","Veracruz","D","PROPIETARIO","LetyLopez_2012","","","",
263,"López Landero Tomás","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","TomasLopezL","tomaslopezl","tomaslopezlandero","","http://pbs.twimg.com/profile_images/439266926519283712/alHQ3pCx_bigger.jpeg"
264,"López López Raudel","PAN","Representación Proporcional","Aguascalientes","D","PROPIETARIO","","raudel.calvillo","","",
265,"López Moreno Lourdes Adriana","PVEM","Mayoría Relativa","Chiapas","D","PROPIETARIO","Lulu_Chiapas","LourdesLopezPVEMD1","","www.lourdeslopezmoreno.com.mx","http://pbs.twimg.com/profile_images/2022432570/foto_perfil_01_bigger.jpg"
266,"López Noriega Alejandra","PAN","Mayoría Relativa","Sonora","D","PROPIETARIO","alejandralopesn","AlejandraLopezNoriega.org","AlejandraLopezN","www.alejandralopeznoriega.com","http://pbs.twimg.com/profile_images/378800000796127106/8b19d866feaa86519617e9a69dd648f7_bigger.jpeg"
267,"López Rosado Roberto","PRD","Representación Proporcional","Oaxaca","D","SUPLENTE","rosadolpez","roberto.lopezrosado.7","RobertoRosado16","","http://pbs.twimg.com/profile_images/2797895417/3719ac59fc2596e6738990b06fd9a0b9_bigger.jpeg"
268,"Carlos Octavio Castellanos Mijares","PVEM","Representación Proporcional","Chiapas","D","SUPLENTE","","","","",
269,"López Suárez Roberto","PRD","Representación Proporcional","Zacatecas","D","PROPIETARIO","LopezSurez","roberto.lopezsuarez.5","","","http://pbs.twimg.com/profile_images/440581375825960960/ioqIRWCI_bigger.jpeg"
270,"López Zavala Javier","PRI","Representación Proporcional","Puebla","D","PROPIETARIO","JavierLZavala//JavierLZavala2","JavierLopezZavala","","",
271,"Lorenzini Rangel Julio César","PAN","Mayoría Relativa","Puebla","D","PROPIETARIO","","","","",
272,"Lugo Barriga Patricia","PAN","Representación Proporcional","Colima","D","PROPIETARIO","Patricia_LugoB","patricia.lugobarriga","","","http://pbs.twimg.com/profile_images/3279911633/a6f1d99612d7fc4add9dbe8b08b31a81_bigger.jpeg"
273,"Luna Porquillo Roxana","PRD","Representación Proporcional","Puebla","D","PROPIETARIO","RoxanaLunaP","roxana.luna.961","","","http://pbs.twimg.com/profile_images/414204327125712896/XeI36H41_bigger.jpeg"
274,"Macías Sandoval Raúl","PRI","Representación Proporcional","México","D","PROPIETARIO","","","","",
275,"Madrid Tovilla Arely","PRI","Representación Proporcional","Chiapas","D","PROPIETARIO","Arely_Madrid","Arely-Madrid-Tovilla","arelymadridtovilla","","http://pbs.twimg.com/profile_images/1367792669/arely_madrid_bigger.jpg"
276,"Magaña Zepeda María Angélica","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","","angelica.prijicotepec","","",
277,"Maldonado Hernández Fernando Alfredo","PRI","Mayoría Relativa","México","D","PROPIETARIO","FerMaldonadoDip","FernandoMaldonadoHDZ","FernandoMaldonadoHDZ","www.fernandomaldonado.mx","http://pbs.twimg.com/profile_images/378800000691769840/bb5314482bfc71151a7ec58d217df2a6_bigger.jpeg"
278,"Maldonado Salgado José Valentín","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","","","",
279,"Manríquez González Víctor Manuel","PRD","Representación Proporcional","Michoacán","D","PROPIETARIO","","victormanuelmanriquezgonzalez","","",
280,"Manzur Quiroga José Sergio","PRI","Mayoría Relativa","México","D","PROPIETARIO","Manzur_Jose","","JoséManzurQuiroga","www.josemanzurquiroga.mx","http://pbs.twimg.com/profile_images/441814823332892672/i_JQSo8A_bigger.jpeg"
